Gene Symbol,Adult Hind Gut biological rep1,Adult Hind Gut biological rep2,Adult Hind Gut biological rep3,Adult Hind Gut biological rep4,Adult Mid Gut biological rep1,Adult Mid Gut biological rep2,Adult Mid Gut biological rep3,Adult Mid Gut biological rep4,Adult Accessory gland biological rep1,Adult Accessory gland biological rep2,Adult Accessory gland biological rep3,Adult Accessory gland biological rep4,Adult Brain biological rep1,Adult Brain biological rep2,Adult Brain biological rep3,Adult Brain biological rep4,Adult Crop biological rep1,Adult Crop biological rep2,Adult Crop biological rep3,Adult Crop biological rep4,Larval Wandering fat body biological rep1,Larval Wandering fat body biological rep2,Larval Wandering fat body biological rep3,Larval Wandering fat body biological rep4,Adult Head biological rep1,Adult Head biological rep2,Adult Head biological rep3,Adult Head biological rep4,Larvae Wandering Tubules biological rep1,Larvae Wandering Tubules biological rep2,Larvae Wandering Tubules biological rep3,Larvae Wandering Tubules biological rep4,Adult Ovary biological rep1,Adult Ovary biological rep2,Adult Ovary biological rep3,Adult Ovary biological rep4,Adult Testes biological rep1,Adult Testes biological rep2,Adult Testes biological rep3,Adult Testes biological rep4,Adult Whole Fly biological rep1,Adult Whole Fly biological rep2,Adult Whole Fly biological rep3,Adult Whole Fly biological rep4,Adult Salivary Gland rep1,Adult Salivary Gland rep2,Adult Salivary Gland rep3,Adult Salivary Gland rep4,Adult Carcass biological rep1,Adult Carcass biological rep2,Adult Carcass biological rep3,Adult Carcass biological rep4,Adult Thoracoabdominal ganglion rep1,Adult Thoracoabdominal ganglion rep2,Adult Thoracoabdominal ganglion rep3,Adult Thoracoabdominal ganglion rep4,Larval Feeding Hind Gut rep1,Larval Feeding Hind Gut rep2,Larval Feeding Hind Gut rep3,Larval Feeding Hind Gut rep4,Larval Feeding Mid Gut rep1,Larval Feeding Mid Gut rep2,Larval Feeding Mid Gut rep3,Larval Feeding Mid Gut rep4,Larval Feeding Salivary Gland rep1,Larval Feeding Salivary Gland rep2,Larval Feeding Salivary Gland rep3,Larval Feeding Salivary Gland rep4,Adult Female Spermatheca Mated rep1,Adult Female Spermatheca Mated rep2,Adult Female Spermatheca Mated rep3,Adult Female Spermatheca Mated rep4,Adult Female Spermatheca Virgin rep1,Adult Female Spermatheca Virgin rep2,Adult Female Spermatheca Virgin rep3,Adult Female Spermatheca Virgin rep4,Larval Feeding Malpighian Tubule biological rep1,Larval Feeding Malpighian Tubule biological rep2,Larval Feeding Malpighian Tubule biological rep3,Larval Feeding Malpighian Tubule biological rep4,Larval Feeding Fatbody biological rep1,Larval Feeding Fatbody biological rep2,Larval Feeding Fatbody biological rep3,Larval Feeding Fatbody biological rep4,Larval Feeding Carcass biological rep1,Larval Feeding Carcass biological rep2,Larval Feeding Carcass biological rep3,Larval Feeding Carcass biological rep4,Larval Feeding Central Nevous System biological rep1,Larval Feeding Central Nevous System biological rep2,Larval Feeding Central Nevous System biological rep3,Larval Feeding Central Nevous System biological rep4,Larval Feeding Trachea biological rep1,Larval Feeding Trachea biological rep2,Larval Feeding Trachea biological rep3,Larval Feeding Trachea biological rep4,5th Passage Drosophila S2 Cells biological rep1,5th Passage Drosophila S2 Cells biological rep2,5th Passage Drosophila S2 Cells biological rep3,5th Passage Drosophila S2 Cells biological rep4,Adult Fatbody biological rep1,Adult Fatbody biological rep2,Adult Fatbody biological rep3,Adult Fatbody biological rep4,Adult Eye biological rep1,Adult Eye biological rep2,Adult Eye biological rep3,Adult Eye biological rep4,Adult Heart biological rep1,Adult Heart biological rep2,Adult Heart biological rep3,Adult Heart biological rep4,Adult Male Ejaculatory Duct biological rep1,Adult Male Ejaculatory Duct biological rep2,Adult Male Ejaculatory Duct biological rep3,Adult Male Ejaculatory Duct biological rep4,Whole Larvae Feeding biological rep1,Whole Larvae Feeding biological rep2,Whole Larvae Feeding biological rep3,Whole Larvae Feeding biological rep4,Adult Trachea biological rep1,Adult Trachea biological rep2,Adult Trachea biological rep3,Adult Trachea biological rep4,Adult Thoracic Muscle biological rep1,Adult Thoracic Muscle biological rep2,Adult Thoracic Muscle biological rep3,Adult Thoracic Muscle biological rep4,Adult Wings biological rep1,Adult Wings biological rep2,Adult Wings biological rep3,Adult Wings biological rep4,Adult Female Spermatheca Mated (REDONE) biological rep1,Adult Female Spermatheca Mated (REDONE) biological rep2,Adult Female Spermatheca Mated (REDONE) biological rep3,"Adult Female Spermatheca Mated (REDONE) biological rep4""
"
128up,214.515,246.597,216.581,221.667,264.60200000000003,281.02,300.132,255.195,427.689,467.309,464.796,520.687,190.94799999999998,196.13,183.19400000000002,188.87400000000002,335.62300000000005,294.756,284.82599999999996,284.232,208.437,266.468,271.121,222.21099999999998,216.46200000000002,213.665,196.013,205.645,171.165,152.933,149.641,160.625,683.698,674.071,647.605,649.994,278.615,286.613,327.879,320.759,394.449,410.715,417.17800000000005,339.218,295.073,308.758,305.01099999999997,300.353,209.09099999999998,204.33,176.549,196.322,191.362,226.02,187.747,185.77200000000002,227.14,314.66,310.449,287.173,196.57,200.37400000000002,237.179,209.84799999999998,536.77,552.594,548.69,666.565,435.70300000000003,385.11,395.30699999999996,470.24699999999996,341.43800000000005,354.006,365.749,342.58,232.628,204.14,199.273,218.68,349.336,515.414,277.01099999999997,350.18800000000005,448.541,493.67900000000003,285.372,344.68,400.11400000000003,483.42,483.792,434.731,650.734,631.736,548.3380000000001,471.98,443.025,454.93199999999996,474.441,491.272,269.024,333.543,238.355,305.423,213.84400000000002,234.354,228.547,256.723,207.12599999999998,233.75599999999997,200.25799999999998,239.433,245.768,290.306,266.653,277.72,271.493,242.326,234.107,221.172,141.365,171.113,175.234,280.199,133.325,132.459,113.936,363.596,196.984,262.507,181.058,204.362,380.87800000000004,112.686,294.49,329.094
140up,139.863,181.65599999999998,143.80200000000002,149.44799999999998,92.0433,82.1054,77.4072,91.4419,116.91799999999999,124.89200000000001,112.506,109.495,96.4976,112.56,117.32,110.83,110.34700000000001,119.10799999999999,100.625,112.02799999999999,56.5192,48.0924,73.3629,71.4786,91.3238,85.1886,78.5106,90.0117,167.18,164.803,169.498,171.889,154.188,146.377,154.542,162.297,73.4917,75.7267,68.6557,74.6185,100.913,90.06700000000001,101.745,90.8411,138.849,134.747,157.005,154.37,93.4962,105.65700000000001,88.0436,111.62700000000001,136.151,151.298,136.18200000000002,135.048,106.281,107.488,136.471,122.936,56.0768,73.2806,101.37299999999999,69.4894,75.5165,73.0864,69.335,89.2822,138.779,116.619,121.72200000000001,163.87900000000002,135.084,123.646,129.716,114.88799999999999,151.18,144.969,140.878,147.503,67.9555,84.9456,82.4226,71.8492,81.7165,89.193,72.2468,59.3482,103.811,111.302,116.6,95.9175,83.8269,101.573,86.984,94.6936,94.5516,93.76700000000001,100.446,96.1861,122.771,119.079,120.89,101.383,102.92399999999999,95.5057,127.061,111.84299999999999,114.574,107.70700000000001,90.8929,99.8774,80.4123,75.2463,80.1437,96.8637,67.2687,71.57600000000001,58.0721,51.5505,68.251,71.3695,83.6824,76.9114,237.612,145.437,155.803,110.831,79.4057,81.8054,76.4032,68.4071,85.9088,128.334,87.1894,104.89
18w,241.722,247.02900000000002,245.755,262.189,54.1084,60.0517,60.6989,54.93600000000001,33.0263,39.497,39.3608,30.7383,305.145,295.08299999999997,287.868,274.955,71.7666,84.678,79.8581,72.3886,70.6739,39.4719,43.6893,69.3157,404.421,379.716,390.876,425.957,23.4717,26.3034,30.8561,38.8478,99.5236,99.9193,114.906,150.382,33.1304,40.175,35.5082,48.1077,182.22299999999998,175.524,195.907,194.358,330.48400000000004,325.433,269.64,256.569,275.193,367.37199999999996,361.708,376.954,323.70099999999996,289.471,306.803,344.015,150.685,150.291,145.533,168.635,91.2594,53.5136,44.7274,46.5174,40.5617,55.4929,66.6583,30.6409,635.1569999999999,656.6610000000001,694.89,626.826,683.696,682.9119999999999,522.355,599.222,7.452380000000001,10.7864,15.3559,4.0549800000000005,9.83595,27.4472,71.0161,17.695,88.4799,112.117,174.31900000000002,106.723,279.453,231.109,304.853,229.94799999999998,871.243,899.581,937.311,748.693,69.2573,83.9228,71.9306,50.2781,336.858,301.69,347.46,370.47900000000004,341.555,373.13,328.25,277.21,273.776,303.36400000000003,304.222,305.41900000000004,81.36,47.343999999999994,91.5392,100.704,94.2117,101.501,116.837,104.976,579.7230000000001,583.788,706.87,450.806,91.914,86.8468,100.405,294.091,772.388,700.448,752.143,754.715,285.764,66.531,248.042,264.25
312,4.16597,2.60007,3.5337699999999996,4.6058699999999995,0.194508,0.5774199999999999,0.9778389999999999,2.65123,8.84807,0.34276999999999996,0.638229,1.52093,65.7291,62.6416,68.8182,66.3389,3.20974,2.86164,4.35082,3.8836,0.568126,3.26047,3.21714,5.70757,21.3797,27.5365,15.8842,16.8727,1.01732,2.015,4.34682,4.71938,12.47,12.5053,8.39955,8.15387,0.5615979999999999,1.7023599999999999,2.72657,0.585531,9.1903,8.16671,7.5122,5.97273,4.20757,0.713414,6.968319999999999,1.39681,10.7027,12.4797,1.97908,8.691469999999999,35.7296,34.1925,30.022,35.9958,3.25576,5.35084,4.60133,4.5348,5.62945,4.534619999999999,3.10414,3.35851,0.869129,0.284394,0.8732059999999999,1.1525,5.93625,5.54627,5.6836,3.71221,4.0593699999999995,6.67875,4.2733300000000005,4.05204,1.59579,5.9219800000000005,0.45446000000000003,4.364319999999999,4.72598,5.133780000000001,3.2815,3.07386,5.76955,5.22118,4.60691,3.98535,43.3648,33.6634,32.6285,33.287,5.53534,2.8128,0.6704899999999999,7.33816,5.0672,5.602069999999999,6.22034,7.493410000000001,4.70215,5.03948,3.7885,3.65689,24.4324,16.9936,21.2663,13.1234,0.5917899999999999,4.3758,3.9899199999999997,3.6241800000000004,0.763681,0.24206999999999998,2.87597,0.273997,8.595369999999999,0.544986,7.5503,5.32142,12.9602,8.52111,10.3318,8.147910000000001,51.3375,63.4656,68.3797,0.36183000000000004,7.03675,2.94253,8.25821,5.4438699999999995,5.00885,35.0969,2.39418,2.27031
7B2,25.7843,19.12,34.8,21.6491,89.0017,116.571,114.17,123.405,2.34292,0.6184350000000001,1.4129,0.942792,2751.12,2291.3,2401.76,2955.58,0.98169,0.454707,0.646184,0.727721,78.7437,64.4089,129.389,80.67699999999999,1570.73,1585.47,1612.3,1781.19,9.7493,1.28447,0.942099,1.32857,0.535554,1.078,0.48024300000000003,0.528036,14.4105,11.1103,18.0651,12.9844,135.125,106.87,147.066,125.125,3.07499,2.11784,1.7418799999999999,0.89741,65.5524,58.2072,53.8095,24.1144,2351.78,2366.09,2563.69,2284.12,72.6181,52.3286,50.8653,43.7878,111.786,93.334,92.5748,98.1943,2.36663,12.1785,8.63977,19.2851,1.6450799999999999,2.58946,1.9634,1.48914,1.37511,1.40654,1.66431,1.86365,2.01637,0.428422,1.6389099999999999,0.731398,88.2647,49.9562,42.7502,42.3304,23.5017,18.5492,17.4147,17.6301,963.8560000000001,1017.7,921.8389999999999,1032.66,61.2013,33.7806,75.3016,175.361,0.901741,1.2854299999999999,0.8640389999999999,0.913062,12.1509,11.3736,3.18186,1.61871,2199.45,2077.93,2388.09,2269.13,21.5632,19.5243,22.1073,24.5309,5.61354,0.614997,1.3910200000000001,7.0548399999999996,63.5252,78.1891,76.4194,76.8477,605.595,170.292,711.5239999999999,20.1159,25.4619,9.08644,175.851,1.3886100000000001,172.115,194.967,128.78,183.37900000000002,0.8426049999999999,16.0162,2.6428599999999998,0.579274
ACXA,6.15027,1.1962700000000002,2.1474,1.4195799999999998,1.73386,1.4661799999999998,4.26397,0.7304930000000001,6.96272,1.7550700000000001,2.16851,0.8968430000000001,0.507306,0.213581,0.602168,6.574910000000001,4.48234,0.5128149999999999,0.866252,3.5584300000000004,25.0891,225.387,68.4895,48.1757,0.41062200000000004,2.5047,0.652353,3.07311,8.23081,1.11256,0.862556,1.3438700000000001,0.321358,0.5417069999999999,0.495958,0.279915,527.88,479.805,595.855,562.965,18.76,38.3485,23.0284,27.5229,12.1217,2.65407,1.87155,0.995502,1.29906,7.295489999999999,1.8198299999999998,5.1696800000000005,1.25811,1.1863,0.931516,1.68035,1.4253200000000001,2.72757,0.610867,0.5362319999999999,0.7023020000000001,0.900702,0.36189899999999997,3.05641,0.42900600000000005,1.35247,1.52941,1.10493,1.32707,7.52272,0.97346,0.803149,0.7894140000000001,2.5040299999999998,1.75302,1.5422799999999999,0.9091389999999999,2.55517,0.673096,0.730125,1.2207299999999999,0.44757600000000003,1.45058,62.0267,0.42953199999999997,0.588194,1.03152,0.729522,2.5724099999999996,0.205166,0.606712,0.258521,0.638592,0.39650599999999997,6.70357,0.395916,0.6142880000000001,0.818476,0.704274,1.2371299999999998,1.1119700000000001,3.02215,2.3136799999999997,2.83895,0.767457,0.258459,4.5277400000000005,2.20016,0.534568,3.13665,0.604826,6.597160000000001,2.2448200000000003,1.05829,1.61859,1.83915,12.5528,15.9328,13.3667,3.61124,0.499255,0.901134,0.534114,1.64546,0.8702,3.4100099999999998,1.3754600000000001,6.36741,3.11439,8.52192,1.5666799999999999,0.819889,11.4802,2.9557,0.604658,0.335198
ACXB,4.88794,1.67985,1.27514,4.21736,1.7430299999999999,1.6288200000000002,5.67833,2.5028799999999998,1.9325599999999998,1.15679,1.1614200000000001,3.6361800000000004,7.387060000000001,10.4031,6.2825,14.7666,2.74553,3.90654,2.64039,1.40916,6.04586,73.4767,28.9,18.9993,4.717890000000001,1.00339,1.04035,1.6361700000000001,1.32277,1.4429299999999998,3.2425900000000003,9.16183,0.753792,0.40812800000000005,0.624889,1.86539,150.507,158.515,152.32399999999998,163.945,10.5441,8.562610000000001,10.2588,9.783389999999999,8.77621,1.51322,5.94311,2.46664,10.4658,10.3767,0.9104049999999999,13.3524,5.066269999999999,1.53519,5.4661599999999995,0.881908,0.49243000000000003,0.48025100000000004,4.60053,9.5019,1.4733100000000001,7.961989999999999,5.57867,6.812060000000001,2.5886,0.878907,6.0233099999999995,1.2321,8.729569999999999,1.4107,13.1284,1.41858,6.4657,10.1207,7.6122,3.62291,5.72066,5.73442,5.91951,7.67557,1.0200200000000001,2.76535,5.90024,28.8477,5.538069999999999,7.2577,7.935510000000001,1.31539,2.92623,6.69562,4.5285400000000005,6.73768,1.03443,1.5622,2.6008299999999998,0.943651,0.82542,0.9081959999999999,2.62928,0.799033,18.5105,16.1697,13.2626,5.33076,2.08524,3.2115400000000003,0.6400899999999999,1.06938,0.901436,0.575612,4.64335,5.71152,1.7776299999999998,2.7441400000000002,2.01064,6.3423300000000005,8.49201,12.5706,9.88802,6.3951400000000005,4.89971,6.82676,11.6736,6.75785,1.6103399999999999,22.7176,11.3736,9.3799,3.02493,5.71276,5.33703,1.25625,2.5666599999999997,2.7564,1.8139599999999998,1.5135100000000001
ACXC,1.03139,2.8414599999999997,3.01114,4.91376,1.3221,1.69495,3.55785,6.0765400000000005,6.6215,0.5667770000000001,1.88873,8.279,11.2029,14.3436,17.1373,18.9141,4.99359,1.9797200000000001,12.2329,2.40598,12.5376,157.319,46.2612,28.3023,1.1014,1.89428,3.19133,1.07342,2.02802,7.093960000000001,1.79667,1.00378,0.42622,0.817916,0.47364799999999996,1.8618299999999999,559.238,591.146,566.873,576.24,40.257,36.0368,27.1783,37.0888,4.04441,10.0401,10.2603,1.77932,11.2261,2.00937,12.6983,5.34063,1.13923,4.325830000000001,7.666,3.52335,2.86115,0.753834,0.765401,3.62744,10.7035,6.7305600000000005,8.05102,4.9984,4.39184,5.44835,2.80907,0.798351,7.00173,4.93245,1.03975,4.93122,1.2906799999999998,1.26836,5.66376,8.16216,0.582638,1.08717,3.26107,0.472475,0.49512799999999996,0.9895360000000001,0.8861690000000001,38.5161,0.9002709999999999,1.6830200000000002,3.6021900000000002,0.6150220000000001,2.56956,4.32101,4.20737,7.41552,5.59096,8.03159,8.50918,5.0639400000000006,5.69234,0.6960770000000001,5.28143,0.23977600000000002,10.7719,10.6152,8.481580000000001,7.31296,5.3645,3.96383,0.87318,1.9560400000000002,1.6505400000000001,4.73268,5.00935,3.61098,5.0357400000000005,1.54518,2.41206,1.9324,16.1493,24.4419,14.3062,10.3942,3.8688800000000003,3.7364900000000003,4.37629,0.953183,0.9332469999999999,10.094,6.83102,0.862951,0.45293100000000003,6.38445,6.82848,3.84372,5.0477099999999995,2.09199,9.13903,1.02912
ACXD,28.8443,31.3156,34.1269,35.0354,115.109,109.7,126.99700000000001,120.55799999999999,14.0588,9.68383,16.3286,4.05744,4.69595,0.366007,0.734987,2.12682,4.11301,8.14917,1.6767,2.3,74.3937,41.3486,57.8443,49.952,9.80508,12.9337,5.24098,0.473696,26.2698,31.6074,21.8297,32.2166,5.3286,3.31788,8.7529,3.67542,11.6477,4.42238,1.17849,8.40385,21.1466,21.6277,21.279,18.9846,4.70001,11.4053,13.3596,6.45977,19.6396,9.90879,21.186,2.8437,8.612119999999999,12.1356,4.7041900000000005,4.22152,53.2092,49.0693,43.3384,44.4323,95.34299999999999,102.85,90.2191,99.4629,12.4794,9.98467,7.99247,5.01963,66.1927,58.1681,43.3106,42.8318,38.0824,37.4317,49.4099,26.7605,24.3123,24.1545,27.888,25.9166,114.27799999999999,97.0765,149.053,116.205,15.6949,12.0182,14.9553,2.83691,2.97321,2.63022,2.64071,2.39193,3.31357,8.79813,6.4627300000000005,2.28471,8.023430000000001,1.5967200000000001,5.31377,7.5342899999999995,16.2433,10.6991,7.72685,9.52771,9.82605,9.3981,10.1717,9.391060000000001,5.55445,0.385308,9.96809,6.37986,9.32752,2.19679,1.8155700000000001,10.462,57.095,57.0011,52.5955,58.8005,12.0969,8.312510000000001,1.94607,16.8269,20.1561,20.4685,24.3982,52.5873,12.4989,12.1759,11.3578,5.05748,33.6719,30.7288,9.45888,16.5809
ACXE,1.67677,0.8718799999999999,0.767638,0.9285889999999999,10.7489,1.43356,2.75926,4.440180000000001,1.8368400000000003,2.2454400000000003,1.7346099999999998,1.22771,4.65946,0.687823,0.881764,1.66124,2.38065,0.49184799999999995,5.78471,10.2009,3.73795,24.9685,8.751719999999999,16.9526,0.9841639999999999,4.5174,1.66944,4.19785,1.8937,12.297,13.4959,1.29519,1.30542,2.21122,3.84556,1.02646,36.9188,33.0065,38.9538,56.5594,7.63294,8.81582,1.62375,12.1905,2.58026,10.1814,3.67434,1.3974600000000001,0.946102,2.26137,0.65795,2.14965,1.27525,0.44131899999999996,1.05746,1.31944,1.0262200000000001,1.80027,6.245080000000001,0.567615,3.17216,1.14612,1.7357,5.2644,1.60486,4.40775,9.14493,0.7756970000000001,15.5627,1.42581,10.5945,1.44215,1.39868,8.14043,7.548719999999999,9.79033,0.660596,0.984582,1.1671200000000002,1.7457200000000002,5.8053,10.1023,20.088,14.9499,3.19335,8.51525,0.8484780000000001,2.86009,1.8888099999999999,8.29632,4.4505,2.50461,5.75099,1.3206,7.71515,1.9055799999999998,1.7820799999999999,0.433569,4.49225,1.00066,12.4509,8.419130000000001,5.17265,1.59994,1.13519,0.484263,2.72362,1.15639,0.768159,3.1259900000000003,0.470841,0.285165,1.464,7.84693,2.0579099999999997,13.9085,5.45234,11.4148,10.2961,10.742,7.672510000000001,2.83287,0.865717,4.01201,2.37615,4.26086,14.5158,2.14792,0.953838,9.6866,0.9025540000000001,3.77175,14.5876,1.16905,7.04517,4.046469999999999
AGO1,207.887,229.463,239.688,246.81799999999998,217.38,215.929,193.46599999999998,196.60299999999998,156.974,183.368,160.19899999999998,128.035,422.205,434.314,396.92400000000004,327.963,276.72,234.912,255.89700000000002,279.812,244.37900000000002,192.111,209.24099999999999,233.49900000000002,251.00400000000002,174.643,199.888,224.27,305.004,294.546,278.062,310.73400000000004,521.25,535.844,508.86400000000003,560.9119999999999,38.9395,35.7014,29.5183,32.9686,169.88099999999997,158.92600000000002,206.734,192.553,321.428,317.172,233.201,229.612,141.254,167.25099999999998,193.09900000000002,165.123,263.837,193.855,260.401,261.68,198.993,151.1,178.74900000000002,182.301,108.12799999999999,118.087,106.645,129.42600000000002,209.00900000000001,222.543,199.40599999999998,172.798,112.215,128.247,94.9498,102.741,106.164,69.7231,93.5393,109.36399999999999,222.55200000000002,235.873,264.789,267.79,193.794,179.343,205.421,208.122,139.941,180.588,274.897,179.641,392.394,437.316,449.23199999999997,434.555,303.782,271.485,282.015,287.223,339.159,368.111,323.41900000000004,336.93699999999995,188.15,156.263,146.655,142.903,273.275,191.018,213.516,189.465,194.73,142.274,157.914,162.205,176.541,63.4534,166.11599999999999,148.539,144.498,134.21200000000002,152.63299999999998,153.764,234.149,295.805,218.648,170.71400000000003,203.422,256.401,274.705,193.22099999999998,232.764,226.671,235.988,230.793,150.665,232.273,135.947,127.493
AGO2,794.3389999999999,847.725,804.3939999999999,826.197,744.932,820.028,737.528,734.727,895.632,954.7,840.826,766.038,621.754,636.259,627.842,549.6759999999999,995.153,1008.93,993.0,1040.94,1112.08,818.914,953.04,1002.24,653.874,626.9580000000001,723.823,679.8810000000001,1004.32,982.5110000000001,936.0139999999999,943.2760000000001,403.1,453.314,440.959,491.916,274.624,278.025,257.281,280.24,400.402,537.879,447.717,426.10900000000004,1148.36,1210.48,1168.39,1164.69,753.291,665.435,853.3330000000001,769.74,549.811,472.86199999999997,606.341,565.132,982.566,869.951,721.819,711.84,756.513,769.533,685.413,766.574,1689.55,1779.56,1904.35,1844.99,709.3480000000001,786.584,818.701,846.385,745.335,781.676,732.547,827.064,886.732,904.314,996.947,1016.68,1306.68,879.8580000000001,1278.65,1343.41,940.753,864.51,1100.73,1012.86,718.914,809.5880000000001,787.363,742.3530000000001,1390.8,1346.08,1409.81,1371.83,1525.93,1749.13,1737.87,1684.03,1059.55,892.173,966.7230000000001,886.3439999999999,651.4159999999999,624.126,622.979,615.85,909.665,782.283,856.243,955.932,955.125,787.75,915.8560000000001,892.705,669.039,654.242,703.135,687.5980000000001,989.66,1147.92,929.202,936.393,723.742,767.875,679.512,810.153,1000.47,966.2719999999999,954.398,1031.79,832.303,630.383,773.987,828.571
AQP,244.80700000000002,240.15200000000002,213.377,234.093,46.6946,48.4658,39.2241,44.9421,129.546,152.715,93.9394,142.114,3.8642300000000005,6.64421,6.657760000000001,9.986369999999999,591.616,665.426,618.226,653.501,16.7928,78.4207,20.7399,22.9489,212.903,196.86599999999999,215.132,199.699,1.36541,5.3373,2.9714,6.63563,0.982532,3.76975,5.03264,1.89942,140.112,122.87700000000001,157.069,147.493,304.76,253.78599999999997,187.49400000000003,358.366,22.6814,5.28881,17.5794,27.3196,1104.33,1193.43,865.205,872.0269999999999,52.8231,35.6125,51.14,24.885,69.3581,61.2192,85.8834,78.672,9.89452,5.09466,13.1191,10.417,1.39895,2.16898,5.59431,3.9954300000000003,38.6523,55.0341,34.5552,37.2652,23.0654,27.4248,31.3551,23.8107,9.23497,5.08525,6.575060000000001,5.99678,6.96807,1.96828,3.8242300000000005,22.9956,333.769,374.059,283.46,362.05199999999996,3.9721699999999998,7.388960000000001,5.085369999999999,6.03485,3.4223199999999996,13.1714,20.9582,26.8828,7.21915,5.24339,8.28398,4.33309,19.9165,16.0916,23.660999999999998,16.0167,20.113,27.4419,37.6685,34.2914,310.421,344.38699999999994,391.73400000000004,307.454,85.2789,69.0384,93.4104,70.2111,110.10799999999999,108.301,109.147,117.04799999999999,162.085,394.569,385.181,124.719,8917.34,9917.49,10184.5,21.156,713.3510000000001,326.207,754.122,310.45799999999997,25.0264,9212.46,15.8924,14.1366
ATPCL,3.2245,4.93759,5.386369999999999,6.98577,8.48586,6.90132,1.16821,1.70218,2.485,5.58729,1.50565,3.9542699999999997,1.10271,0.387979,2.1694,2.26945,0.773356,10.3318,1.03282,9.662930000000001,12.1958,0.781165,1.58809,13.0728,1.03326,10.6765,2.93255,4.44717,1.44265,10.085,7.793239999999999,2.5644099999999996,6.775589999999999,1.49716,5.7824599999999995,1.65222,0.9223020000000001,1.11214,0.617356,1.46354,1.08149,3.8353,2.18641,2.71507,14.8456,3.3953699999999998,10.9268,3.2876800000000004,2.25108,1.1986299999999999,1.9931599999999998,11.0456,6.2457400000000005,6.75592,3.86573,5.62669,3.53285,5.457990000000001,1.2334399999999999,0.754628,0.7112069999999999,0.668605,1.23094,1.7874599999999998,2.16304,11.0652,5.74927,15.5147,25.9623,9.20473,16.1212,29.0151,13.3772,18.8997,12.7729,22.4787,6.836530000000001,0.42721499999999996,5.92594,0.905761,1.2390299999999999,8.75484,7.4788,11.9193,0.921688,5.19308,0.852517,2.05504,4.555630000000001,4.81942,4.37402,4.5301599999999995,2.6284099999999997,2.3376099999999997,1.56126,6.43309,0.709171,2.9193,1.14616,1.03826,5.13702,11.8084,6.7663199999999994,5.64562,9.32172,4.51083,5.1058900000000005,1.3672600000000001,4.4284,8.950239999999999,2.10625,0.32462199999999997,36.268,88.2687,23.8884,16.5522,5.46995,2.2318599999999997,1.0028700000000002,5.0073,4.73306,1.14519,2.68206,14.788,11.9838,6.48623,11.7851,9.14017,2.17101,9.49226,3.15815,7.437239999999999,7.95158,8.79572,0.9405610000000001,7.2794
Aac11,322.10200000000003,304.568,282.238,303.837,251.378,270.408,257.406,210.578,687.175,872.257,844.8389999999999,887.357,1299.54,1229.63,1413.15,1414.58,504.533,418.26300000000003,430.412,481.62199999999996,353.00800000000004,450.421,427.68800000000005,406.60699999999997,280.357,371.249,320.322,342.986,440.45,379.634,529.993,486.649,388.45599999999996,413.98199999999997,450.731,472.86,280.539,286.51,255.574,298.436,256.426,257.806,308.71,301.918,534.87,612.0840000000001,597.871,438.075,263.247,265.722,217.59400000000002,203.696,1201.5,1243.78,1274.64,1287.67,230.99599999999998,264.183,265.741,265.501,215.22799999999998,190.74599999999998,153.359,192.68400000000003,733.926,764.7769999999999,786.3810000000001,758.4639999999999,203.62900000000002,194.15099999999998,230.084,226.9,182.03099999999998,237.618,187.13099999999997,186.445,325.86,313.635,297.742,299.62,225.528,204.93400000000003,272.427,253.003,279.467,309.757,300.33799999999997,306.631,1250.12,1053.58,1084.33,1104.29,775.35,764.138,724.997,681.7,495.642,472.37699999999995,451.166,506.214,247.863,268.848,306.361,279.97900000000004,434.83,419.475,460.80300000000005,406.56699999999995,236.547,232.171,206.612,279.996,366.56300000000005,456.365,379.586,402.936,312.786,283.099,340.032,347.715,505.189,416.282,533.206,338.866,320.078,269.519,377.829,332.444,394.944,358.559,386.13199999999995,364.57300000000004,293.88599999999997,205.352,237.477,272.763
Abi,210.63099999999997,218.232,207.113,212.261,221.49099999999999,242.611,213.247,201.90599999999998,215.14,246.16400000000002,275.52099999999996,187.375,249.10299999999998,274.82099999999997,259.45,220.498,201.27900000000002,220.382,215.73,203.53400000000002,209.252,209.89700000000002,213.021,255.388,151.382,145.63,163.851,150.548,245.018,223.856,218.688,215.40900000000002,311.818,304.689,304.791,308.115,184.31400000000002,184.894,190.053,202.949,179.75599999999997,196.12099999999998,188.737,158.06,239.44,236.55200000000002,224.52900000000002,232.97,137.459,140.457,169.018,132.605,221.949,213.21900000000002,222.516,219.78400000000002,277.922,293.058,285.411,291.019,305.389,285.934,265.54,328.61400000000003,324.382,277.666,292.496,330.906,142.746,163.17,156.484,163.071,140.421,173.37400000000002,131.139,151.17700000000002,244.293,238.952,271.113,303.681,187.024,191.737,182.142,230.875,284.168,271.004,303.279,294.03,352.76599999999996,352.647,358.70099999999996,361.81199999999995,252.301,255.856,227.1,286.257,595.75,636.621,594.298,589.368,155.746,156.151,157.233,164.043,128.418,138.938,139.705,140.71200000000002,125.37100000000001,162.61,156.549,143.6,175.803,111.654,151.461,150.255,222.96599999999998,253.34,239.76,256.883,173.282,184.55,164.99099999999999,163.143,75.2516,102.29700000000001,111.178,157.876,132.826,133.483,138.349,126.59299999999999,152.907,86.6545,137.236,159.835
